ele,time,extensions/speed,extensions/course,extensions/hAcc,extensions/vAcc,_lon,_lat
51.955259,2024-07-29T22:03:13Z,0.205203,51.527911,6.405800,8.948014,-73.618360,45.554252
51.965230,2024-07-29T22:03:14Z,0.323323,48.853265,5.752036,7.530268,-73.618342,45.554267
51.968984,2024-07-29T22:03:15Z,0.466715,47.897545,5.368437,6.896100,-73.618332,45.554273
51.971720,2024-07-29T22:03:16Z,0.633269,46.703398,5.041750,6.393161,-73.618324,45.554279
51.972656,2024-07-29T22:03:17Z,0.832750,44.936875,4.752543,6.204091,-73.618314,45.554286
51.973306,2024-07-29T22:03:18Z,1.099231,42.821333,4.484371,6.023380,-73.618304,45.554295
51.973490,2024-07-29T22:03:19Z,1.423218,40.753773,4.236153,5.931560,-73.618291,45.554306
51.973807,2024-07-29T22:03:20Z,1.792077,38.742773,4.017730,5.815581,-73.618277,45.554318
51.974327,2024-07-29T22:03:21Z,2.279533,36.799623,3.829895,5.729389,-73.618260,45.554334
51.974821,2024-07-29T22:03:22Z,2.547142,36.258038,3.648198,5.658753,-73.618241,45.554351
51.910566,2024-07-29T22:03:23Z,2.649934,38.110819,3.474444,3.019359,-73.618220,45.554370
51.925085,2024-07-29T22:03:24Z,2.823331,40.183385,3.328153,2.607575,-73.618196,45.554390
51.948179,2024-07-29T22:03:25Z,2.966579,38.663690,3.221289,2.356191,-73.618171,45.554411
51.968004,2024-07-29T22:03:26Z,3.163557,38.807851,3.133895,2.149635,-73.618145,45.554434
51.982579,2024-07-29T22:03:27Z,3.500410,40.464236,3.038387,1.960783,-73.618116,45.554458
51.993169,2024-07-29T22:03:28Z,3.620869,43.130040,2.934842,1.781676,-73.618084,45.554483
52.004434,2024-07-29T22:03:29Z,3.568618,44.633983,2.825397,1.610803,-73.618051,45.554507
52.017535,2024-07-29T22:03:30Z,3.396433,42.681870,2.703830,1.449107,-73.618019,45.554530
52.033069,2024-07-29T22:03:31Z,3.332329,36.488409,2.574025,1.298387,-73.617990,45.554554
52.046338,2024-07-29T22:03:32Z,3.332594,30.804627,2.483205,1.160714,-73.617966,45.554578
52.057866,2024-07-29T22:03:33Z,3.057745,25.019442,2.455837,1.038310,-73.617947,45.554603
52.066087,2024-07-29T22:03:34Z,3.064255,27.575257,2.381593,0.951638,-73.617932,45.554623
52.071839,2024-07-29T22:03:35Z,3.278776,30.785490,2.288903,0.863835,-73.617912,45.554648
52.074036,2024-07-29T22:03:36Z,3.327786,31.617563,2.144476,0.794403,-73.617893,45.554675
52.066231,2024-07-29T22:03:37Z,3.290229,32.475442,2.039453,0.742445,-73.617871,45.554701
52.048724,2024-07-29T22:03:38Z,3.248160,31.407305,1.963436,0.706710,-73.617848,45.554727
52.021034,2024-07-29T22:03:39Z,3.074392,30.812744,1.910200,0.685015,-73.617828,45.554751
51.973955,2024-07-29T22:03:40Z,2.945493,32.230222,1.873746,0.674758,-73.617807,45.554775
51.926804,2024-07-29T22:03:41Z,2.786549,33.784700,1.847978,0.673368,-73.617787,45.554796
51.859429,2024-07-29T22:03:42Z,2.762351,34.412286,1.832368,0.678613,-73.617767,45.554817
51.792115,2024-07-29T22:03:43Z,2.763738,33.963584,1.814822,0.688683,-73.617747,45.554838
51.714776,2024-07-29T22:03:44Z,2.748048,32.249223,1.814852,0.702097,-73.617728,45.554859
51.645405,2024-07-29T22:03:45Z,2.728338,28.999511,1.789894,0.717584,-73.617710,45.554880
51.568707,2024-07-29T22:03:46Z,2.734681,26.605979,1.676962,0.733932,-73.617694,45.554902
51.475067,2024-07-29T22:03:47Z,2.816377,26.805062,1.609763,0.749958,-73.617678,45.554924
51.391966,2024-07-29T22:03:48Z,2.784071,26.890102,1.610260,0.764800,-73.617662,45.554947
51.315669,2024-07-29T22:03:49Z,2.699648,27.849033,1.638037,0.777980,-73.617645,45.554969
51.257424,2024-07-29T22:03:50Z,2.799638,31.792921,1.629058,0.789284,-73.617628,45.554990
51.209489,2024-07-29T22:03:51Z,2.774652,31.679086,1.609456,0.798669,-73.617609,45.555012
51.159739,2024-07-29T22:03:52Z,2.863609,29.260001,1.596054,0.806245,-73.617591,45.555034
51.122442,2024-07-29T22:03:53Z,2.844575,32.411269,1.586096,0.812196,-73.617572,45.555056
51.082950,2024-07-29T22:03:54Z,2.954754,31.565093,1.575389,0.816761,-73.617553,45.555078
51.081377,2024-07-29T22:03:55Z,3.095153,30.985073,1.571118,0.820174,-73.617532,45.555101
51.064182,2024-07-29T22:03:56Z,3.062127,32.376190,1.567375,0.822647,-73.617512,45.555125
51.075237,2024-07-29T22:03:57Z,3.009785,32.885643,1.566688,0.824384,-73.617491,45.555148
51.073693,2024-07-29T22:03:58Z,2.774483,33.168678,1.566315,0.825550,-73.617471,45.555170
51.096494,2024-07-29T22:03:59Z,2.709633,35.298152,1.565246,0.826290,-73.617451,45.555190
51.104675,2024-07-29T22:04:00Z,2.643147,37.207212,1.563430,0.826722,-73.617431,45.555209
51.142552,2024-07-29T22:04:01Z,2.637752,37.542296,1.561180,0.826937,-73.617410,45.555228
51.184916,2024-07-29T22:04:02Z,2.572130,35.955391,1.564309,0.827017,-73.617391,45.555247
51.241732,2024-07-29T22:04:03Z,2.548587,32.165222,1.564386,0.827025,-73.617372,45.555266
51.291406,2024-07-29T22:04:04Z,2.621611,31.600503,1.565179,0.826998,-73.617355,45.555286
51.349785,2024-07-29T22:04:05Z,2.609489,34.297165,1.566969,0.826966,-73.617337,45.555306
51.406427,2024-07-29T22:04:06Z,2.604667,33.355789,1.565883,0.826945,-73.617318,45.555325
51.457183,2024-07-29T22:04:07Z,2.576083,30.011458,1.564580,0.826927,-73.617301,45.555345
51.502465,2024-07-29T22:04:08Z,2.537287,28.399319,1.564498,0.826887,-73.617285,45.555365
51.546100,2024-07-29T22:04:09Z,2.553485,25.401408,1.565780,0.826811,-73.617270,45.555385
51.583486,2024-07-29T22:04:10Z,2.579857,26.062377,1.568398,0.826703,-73.617256,45.555406
51.623042,2024-07-29T22:04:11Z,2.624927,27.040034,1.569260,0.826617,-73.617241,45.555427
51.645632,2024-07-29T22:04:12Z,2.563921,28.017421,1.568600,0.826532,-73.617226,45.555447
51.678021,2024-07-29T22:04:13Z,2.462976,26.074867,1.574649,0.826440,-73.617211,45.555468
51.694598,2024-07-29T22:04:14Z,2.296250,24.259825,1.584401,0.826340,-73.617198,45.555487
51.691812,2024-07-29T22:04:15Z,1.924427,19.726463,1.594081,0.826262,-73.617188,45.555505
51.698586,2024-07-29T22:04:16Z,1.521348,14.704247,1.599119,0.826190,-73.617181,45.555520
